mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
-376.09763,118.54202,-20.661106,-1.9857302,-24.099464,14.395137,-10.172841,-12.061214,-0.714527,9.695643,-12.256404,1.9304293,8.018021,0.69008565,0.7792673,0.30426574,0.3773973,0.2663751,0.61736494,0.57739896,0.6452537,0.51467025,0.26641214,0.6674323,0.62404895,11.561308,12.95724,15.4027,13.823952,18.90337,15.951355
-375.40338,118.44513,-20.511475,-1.9896687,-24.125305,22.134804,-10.846748,-11.989806,-1.6973708,9.685855,-12.23682,-1.2270004,7.327559,0.69208026,0.7808157,0.31372726,0.47544026,0.26606515,0.61575663,0.57359034,0.64903,0.506899,0.264441,0.6676477,0.6220977,11.561542,12.919406,14.790379,13.868091,18.89704,15.954114
-375.0763,118.58029,-20.661188,-1.9937992,-24.160866,20.9291,-11.251624,-12.184651,-1.6116862,9.715858,-12.25197,2.4133644,8.469742,0.6931733,0.7815305,0.3228683,0.36735967,0.26612237,0.6148667,0.57753354,0.6487988,0.43822256,0.26459786,0.667617,0.6241245,11.562084,12.955539,15.624282,13.797792,18.936033,15.948121
-376.1592,118.58191,-20.67678,-1.981913,-24.078344,21.342419,-10.95931,-12.120472,-0.07870918,9.710536,-12.25291,2.6695871,7.988977,0.6921556,0.7819446,0.3354657,0.3471253,0.26641726,0.6166612,0.5774069,0.6475104,0.43856484,0.265314,0.66768396,0.6240871,11.562229,12.95668,14.82175,13.803375,18.93652,15.94917
-376.82977,118.51325,-20.626852,-1.9663515,-23.990486,22.644182,-11.113526,-12.056583,-0.59094894,9.627498,-12.240638,2.2222335,7.456459,0.68975544,0.78030056,0.3352043,0.41829482,0.2688279,0.614607,0.5758718,0.64805883,0.46721825,0.26554993,0.6675682,0.62265104,11.565262,12.891103,14.693804,13.846566,18.907366,15.961411
-375.42764,118.59084,-20.675425,-1.9786359,-23.789383,20.84991,-11.215579,-12.022023,-2.402346,9.7000675,-12.266804,3.1471255,8.570311,0.69111353,0.78355885,0.31992814,0.491533,0.2666573,0.61682373,0.5775307,0.6480615,0.44967818,0.26548043,0.66747195,0.62414527,11.56924,12.959776,14.764408,13.832205,18.92728,15.950281
-375.3237,118.59397,-20.698368,-1.9862198,-24.191357,18.830057,-11.308722,-12.134016,-0.8445171,9.720264,-12.264348,0.96723676,8.416332,0.6931501,0.78445715,0.2998331,0.37690073,0.26596618,0.6180845,0.57763666,0.6493774,0.46938652,0.26390126,0.66777956,0.62495005,11.560675,12.9612255,15.544909,13.796473,18.937263,15.947842
-376.0905,118.32702,-20.636662,-1.96065,-24.04446,14.935057,-10.0419,-11.062335,-0.32998887,9.698061,-12.252136,-1.3602936,8.559364,0.69048864,0.7832618,0.30326146,0.4751494,0.2657344,0.6127452,0.57747513,0.6407709,0.4619944,0.267172,0.6664072,0.62442786,11.5622425,12.92101,15.505703,13.855722,18.847672,15.975094
-377.182,118.45517,-19.93138,-1.8960432,-24.058365,19.558535,-11.143865,-11.606713,-3.7524111,9.666325,-12.218024,1.604967,6.263716,0.6920625,0.7829181,0.3061308,0.54381937,0.26799333,0.6106056,0.57630366,0.6478118,0.45627964,0.26507905,0.66729283,0.62234855,11.566436,12.909558,14.860549,13.975278,18.798891,15.959771
-375.91815,118.50075,-20.416092,-1.9553494,-24.102837,15.071875,-11.0428295,-12.00358,-1.693015,9.622466,-11.991083,2.4632764,7.6192403,0.690595,0.77956146,0.30401534,0.4027834,0.2683947,0.615139,0.5773461,0.64378077,0.4842417,0.26751533,0.6667873,0.6237922,11.568384,12.941637,15.363547,13.873299,18.887323,15.963164
