mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
-645.0302,40.381165,19.59543,-3.1557682,13.233051,0.7670498,6.516189,3.0464914,-16.336128,-9.69647,-11.773651,-2.1874852,3.0264344,0.36335543,0.3633528,0.40975618,0.45080426,0.3890769,0.568192,0.41303584,0.37202096,0.6603273,0.66456175,0.36524463,0.3611738,16.705893,8.784585,13.098195,16.678865,16.014208,16.333332
-644.8213,40.540325,12.51187,-3.0653732,13.601822,0.86356425,6.3886676,2.9844708,-16.32927,-9.683201,-11.734938,-2.1861825,1.8727114,0.3638223,0.36377907,0.4098242,0.44801515,0.38939032,0.56794375,0.41348603,0.3733712,0.65661377,0.66428614,0.36641726,0.36135152,16.704111,8.787629,12.887223,16.668661,16.028864,16.844107
-645.2972,40.38464,19.921017,-2.9780738,13.7103,0.7739995,6.5317883,2.9866576,-16.33153,-9.676819,-11.758101,-2.1835964,2.610764,0.36329517,0.36346182,0.4093696,0.4396787,0.38909695,0.56811935,0.41294613,0.37229553,0.6576549,0.66425246,0.36550477,0.3614215,16.611223,8.788044,13.091908,16.677794,16.020124,17.159456
-644.73254,40.68431,19.748142,-2.3116882,12.893793,1.2582475,6.4344144,2.8404436,-16.231916,-9.619826,-11.700646,-2.167053,2.0186172,0.36497426,0.3642492,0.41040242,0.47183216,0.38948455,0.56745577,0.41382915,0.37485227,0.6488055,0.6623952,0.3670792,0.3630483,16.392273,8.78936,12.525095,16.645208,16.052925,17.284113
-643.08936,40.636784,15.923693,-2.9350302,12.609893,0.82473093,5.9298997,2.5571153,-16.267748,-9.525894,-11.716247,-2.150463,0.9573276,0.36500877,0.36522496,0.41050193,0.44242832,0.38988018,0.5673911,0.41635948,0.37639308,0.64550924,0.6623352,0.3678326,0.36438265,16.4723,8.8010645,12.848455,16.659435,16.040848,16.844149
-645.19794,40.387684,16.160805,-3.0789182,13.590379,0.99289626,6.491707,3.075599,-16.331253,-9.693194,-11.76068,-2.185027,1.9451953,0.36336032,0.36365047,0.4094465,0.49318057,0.38916907,0.5682125,0.41284108,0.37415883,0.649465,0.66341627,0.36656556,0.36126816,16.714815,8.787422,13.004947,16.675621,16.016567,17.12099
-645.3132,40.36114,23.407328,-3.1408021,13.785891,0.69240355,6.5398393,3.1183088,-16.34082,-9.698179,-11.772299,-2.188238,2.516498,0.36323002,0.36336923,0.40913633,0.4695042,0.38906235,0.5682422,0.41267693,0.37178174,0.6600752,0.66456544,0.3652486,0.36120182,16.714092,8.785639,13.2393055,16.676758,16.013435,16.791115
-645.2502,40.46787,18.586533,-3.0857573,13.702341,0.74045277,6.536788,3.0270002,-16.3368,-9.688315,-11.770737,-2.1869452,3.0723197,0.36323452,0.3633506,0.40927842,0.44372043,0.38909143,0.5682389,0.41282538,0.37183267,0.6586593,0.6643081,0.36536482,0.36117765,16.630367,8.786238,13.22848,16.679256,16.01531,16.565758
-645.2203,40.409016,22.324507,-3.0006256,13.684583,0.7473221,6.488088,3.07729,-16.329523,-9.691619,-11.748399,-2.185557,2.063929,0.36436063,0.36369595,0.40930802,0.4447009,0.3891065,0.56816226,0.41299534,0.37499714,0.65948176,0.6642315,0.36579317,0.36156887,16.557241,8.785913,12.748183,16.674593,16.01548,17.04635
-645.13385,40.580185,22.927103,-2.9574587,13.564834,1.0911108,6.505006,3.0735037,-16.33712,-9.679393,-11.750214,-2.1845107,1.3320233,0.3633803,0.36358628,0.40916765,0.47083387,0.38909638,0.5681505,0.4130319,0.37190992,0.65750957,0.6641416,0.36608985,0.3612206,16.531054,8.787517,13.127768,16.675652,16.014727,16.87565
-645.1669,40.482647,20.211985,-2.8902047,13.354673,0.73069817,6.4941754,2.9108193,-16.330603,-9.66331,-11.768743,-2.1754038,1.6782718,0.36362344,0.36373293,0.40932643,0.47580296,0.38940737,0.56810033,0.41287264,0.3737107,0.65542734,0.66384256,0.36671588,0.36198243,16.068304,8.790123,12.974015,16.666758,16.020844,16.45298
-644.1105,40.41917,18.565578,-3.0803688,13.605098,0.7170672,6.484727,2.800513,-16.330006,-9.632514,-11.761747,-2.1852832,2.245562,0.3637121,0.36368185,0.40933537,0.46227348,0.38921124,0.5680521,0.41390663,0.37223655,0.657167,0.6637223,0.3654616,0.36148313,16.538467,8.789229,13.218799,16.664867,16.017632,17.07386
-643.4719,40.827362,15.785294,-2.12836,13.152188,1.2343899,6.275276,2.487352,-16.25553,-9.592742,-11.724746,-2.1486683,2.0336282,0.36554557,0.3660233,0.41113287,0.5011288,0.39061847,0.564818,0.4149215,0.37795913,0.64210457,0.6604471,0.37003016,0.364127,16.455294,8.796439,12.695747,16.612175,16.068335,17.296104
-645.161,40.436676,22.535036,-3.0875323,13.517918,1.1975245,6.5228,2.9695227,-16.32365,-9.65234,-11.768409,-2.1810431,3.3171608,0.36329454,0.36344227,0.409989,0.44329965,0.3891842,0.5680454,0.41338307,0.3727477,0.6557648,0.66451037,0.36574507,0.3612667,16.717163,8.787217,13.21102,16.676956,16.020779,16.715925
-645.21936,40.412254,18.512575,-3.1428828,13.537403,0.74174625,6.520002,3.0779574,-16.337397,-9.67791,-11.774064,-2.188213,3.0651703,0.36321923,0.3633415,0.40933987,0.42192265,0.3890754,0.56822526,0.41286924,0.37185022,0.65751964,0.6646177,0.3652932,0.3611704,16.724806,8.786925,13.18867,16.678648,16.016502,16.15856
-642.8242,41.541664,14.947989,-2.0518577,12.122622,1.47847,6.314137,2.3740337,-16.14166,-9.490949,-11.5098295,-2.121795,0.91672873,0.37219805,0.36831233,0.41180408,0.47925773,0.3904018,0.5666206,0.41656205,0.37918606,0.6416578,0.65725935,0.37229452,0.36575878,16.102968,8.796978,12.482191,16.503332,16.06551,17.634268
-645.28644,40.373775,23.367357,-2.9137104,13.65734,0.93251854,6.534454,2.9893036,-16.331669,-9.694653,-11.769758,-2.183772,3.385383,0.36338115,0.36368912,0.40945452,0.4916382,0.38907918,0.5677861,0.41299295,0.37298658,0.6612565,0.66412604,0.3653743,0.3612176,16.545532,8.785782,13.220091,16.678448,16.017553,16.398619
-645.2183,40.59961,21.491436,-3.1293185,13.061975,0.7269361,6.5382357,3.001765,-16.331846,-9.678295,-11.760138,-2.1871555,0.67307687,0.36335444,0.36337465,0.40922147,0.42841083,0.3891095,0.5682288,0.41285035,0.37190157,0.6591696,0.66386163,0.36520207,0.36166412,16.522171,8.784751,12.97555,16.67598,16.015362,16.977772
-645.3153,40.400635,23.566664,-3.1340835,13.757725,0.80132633,6.544735,3.1145287,-16.340612,-9.699309,-11.773374,-2.1886082,1.7973458,0.36324388,0.363354,0.4091615,0.47480893,0.38905331,0.5682415,0.4126708,0.37177438,0.6586008,0.6645847,0.36520785,0.36115935,16.830286,8.784508,13.237306,16.679783,16.01383,18.194782
-644.7442,40.469223,17.872532,-2.9658074,13.362874,1.3789649,6.5115776,2.7196052,-16.322926,-9.671207,-11.755657,-2.1643128,2.230241,0.36344072,0.36481282,0.41078246,0.45076558,0.38930014,0.56746495,0.41331053,0.3741536,0.6563057,0.66317713,0.36645323,0.36197597,16.646463,8.787512,12.596542,16.661709,16.04017,16.26909
-645.2579,40.393436,23.282383,-2.7906446,13.655299,0.8746582,6.4781604,3.0730855,-16.302431,-9.659546,-11.722772,-2.1827877,2.9116783,0.36345792,0.36345726,0.4093767,0.47348693,0.3892109,0.56815696,0.41311765,0.3724712,0.6460866,0.6641774,0.3660337,0.36133146,16.158596,8.795059,13.136333,16.676607,16.01454,16.628733
-644.7221,40.70846,19.006914,-3.0115993,13.281067,1.2963272,6.4640813,2.6334007,-16.280067,-9.639106,-11.738562,-2.1660507,1.2477325,0.36496997,0.3638972,0.41424546,0.46200556,0.3894032,0.56714296,0.41434583,0.374581,0.6509417,0.66312575,0.36609754,0.361621,16.597305,8.786669,13.153359,16.668592,16.034565,18.193848
-645.0635,40.435623,11.681798,-2.9399364,13.658624,0.9912194,6.5088964,3.029678,-16.316978,-9.648786,-11.752795,-2.182064,2.7288375,0.36367893,0.36355817,0.40919057,0.47975615,0.38911134,0.5681917,0.4129398,0.3721718,0.6598616,0.66408855,0.3653514,0.36124054,16.720884,8.786407,13.161041,16.677496,16.020643,17.48016
-645.3088,40.360584,23.159592,-3.1551847,13.795584,0.68384725,6.5436463,3.0933344,-16.339977,-9.696294,-11.775243,-2.188509,2.672934,0.36325294,0.3633672,0.40914887,0.47827494,0.38905668,0.5682343,0.41267955,0.37176734,0.6601388,0.66460717,0.3651986,0.36116448,16.737288,8.784333,13.21873,16.67728,16.013702,16.570965
-644.59985,40.687332,18.090601,-3.0278897,13.310302,0.89155304,6.4784055,2.9704776,-16.325174,-9.680311,-11.712164,-2.182535,1.0196868,0.3638612,0.36438778,0.409942,0.4615803,0.38919553,0.56801593,0.41310024,0.37295774,0.65485317,0.66332453,0.3660479,0.36190036,16.566526,8.790035,13.081745,16.65928,16.036898,17.563599
-645.1676,40.42257,21.497007,-3.122153,13.677091,0.6897582,6.535172,3.0955307,-16.333761,-9.677658,-11.772944,-2.1873193,1.2718055,0.36322004,0.36336488,0.4091573,0.4508513,0.38909397,0.5681466,0.41302422,0.37177387,0.6589252,0.664477,0.36520562,0.36124742,16.775936,8.784959,13.160403,16.676954,16.020245,16.639338
-645.3091,40.370083,22.446735,-3.083076,13.514834,0.84673434,6.5349617,3.10961,-16.338114,-9.690336,-11.7744465,-2.18828,3.253448,0.36324745,0.363361,0.40919527,0.46294877,0.38905856,0.56823343,0.41271275,0.37190527,0.65822816,0.66453344,0.3654061,0.36117476,16.723612,8.784806,12.961856,16.678823,16.01448,16.184965
-645.18665,40.48001,20.38482,-2.9464288,13.514066,0.8132102,6.5289516,2.8984206,-16.327759,-9.681579,-11.76506,-2.1858435,2.6247497,0.36377162,0.3636972,0.40933794,0.4900624,0.38913676,0.5681342,0.41293082,0.37248373,0.65798473,0.6641291,0.36573353,0.3614797,16.278101,8.7883835,12.788369,16.67223,16.020964,16.548296
-644.7917,40.480476,17.90211,-3.1128733,12.971234,0.81876403,6.4818363,2.9880607,-16.30872,-9.65594,-11.761739,-2.1795096,2.682507,0.36352524,0.36375496,0.40963197,0.4766458,0.3891598,0.5680142,0.413021,0.37279263,0.65997213,0.66444904,0.36560452,0.36125875,16.19012,8.793383,13.160718,16.67059,16.023972,16.744473
-645.3123,40.36014,22.651386,-3.1270764,13.670309,0.6983324,6.528558,3.120921,-16.340755,-9.693821,-11.773555,-2.1883984,2.5874007,0.36321843,0.3633211,0.4091392,0.43744797,0.3890614,0.56824356,0.41276276,0.37202227,0.65987116,0.6645342,0.36579242,0.36116102,16.503292,8.786524,13.221301,16.680153,16.013157,15.828763
-644.2142,40.82071,13.34687,-2.9290392,12.835235,2.4584284,6.3901653,2.8345127,-16.305754,-9.465271,-11.738912,-2.1735978,3.1211896,0.36407924,0.36422703,0.4106313,0.46896487,0.3893439,0.5677929,0.4134096,0.37469918,0.65399116,0.6628718,0.36722678,0.36134472,16.488842,8.793968,13.055117,16.646448,16.034622,17.087732
-645.21106,40.40925,20.173098,-3.078942,13.52946,0.7572952,6.5206127,3.0374017,-16.33028,-9.6727495,-11.7701435,-2.1847181,2.448239,0.3636272,0.36337787,0.4092012,0.46014035,0.38909066,0.56816983,0.41285086,0.37212476,0.6608147,0.6645356,0.3652956,0.36127114,16.440699,8.787877,13.134693,16.675158,16.01561,16.724281
-645.2498,40.385315,20.564737,-2.9434114,13.456306,0.74042654,6.490537,2.987871,-16.32519,-9.64465,-11.771391,-2.1855698,2.8760173,0.3636514,0.36343318,0.40929523,0.4741614,0.38923186,0.5681849,0.4128842,0.37286603,0.65668523,0.6643112,0.3656546,0.36147764,16.34066,8.788764,12.96759,16.6708,16.016745,16.561758
-643.83514,40.739117,22.54215,-3.0675273,12.644075,1.1715579,6.4607835,2.8682895,-16.30951,-9.659058,-11.759318,-2.184035,2.0374079,0.36366427,0.3636068,0.40988374,0.47351545,0.3892707,0.5670457,0.41330665,0.37433553,0.65475696,0.6634312,0.36580414,0.3613701,16.498163,8.7860365,12.675311,16.663025,16.021967,17.251225
-645.2244,40.446445,18.678555,-3.1270535,13.24881,0.82452023,6.537618,2.8345501,-16.334787,-9.667475,-11.770779,-2.1856446,2.3719847,0.36330357,0.36351755,0.40926307,0.46913952,0.38909313,0.5682068,0.4128156,0.3719762,0.6590004,0.664449,0.36544997,0.3612446,16.29644,8.792432,13.066404,16.674412,16.016937,16.622215
