mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
-782.1857,118.39324,-20.63565,-1.7316078,18.61698,-13.272926,-11.589204,-12.229683,0.87487286,-11.165138,5.341543,-14.036989,-8.1589365,0.2739458,0.70424694,0.6142947,0.63689566,0.63432306,0.27301994,0.29440418,0.64873284,0.23094708,0.26396775,0.320252,0.27130964,15.751118,12.961674,16.78557,13.835876,18.927465,18.406876
-782.1995,118.59011,-20.702757,-1.7799981,18.674467,-13.290457,-11.653909,-12.232927,0.8783002,-11.225594,5.3512836,-12.175249,-8.168398,0.2737829,0.6858003,0.6628901,0.64202565,0.63530785,0.27291605,0.29431587,0.64977545,0.22961327,0.2635502,0.31939518,0.27083892,15.759298,12.96438,16.799294,13.789886,18.931705,18.406517
-782.24915,118.48113,-20.636148,-1.6246028,18.61545,-13.271541,-11.618925,-12.215694,0.87348646,-11.197941,5.2615056,-10.955001,-8.163036,0.27383742,0.7037477,0.6349499,0.6388163,0.6351724,0.27307367,0.29442027,0.64980286,0.22988658,0.2636146,0.31979302,0.2708398,15.75747,12.963287,16.766733,13.80111,18.934195,18.402878
-782.2272,118.52869,-20.692904,-1.3533686,18.640602,-13.276225,-11.641117,-12.231588,0.87558115,-11.201679,5.349847,-11.85009,-8.164876,0.27395222,0.6885361,0.66164774,0.6402393,0.6351171,0.27299133,0.29495808,0.6491699,0.23010255,0.26400346,0.31991738,0.27103066,15.740608,12.963655,16.732758,13.813527,18.928411,18.407915
-781.2067,116.24641,-19.879906,-0.65600836,18.03258,-13.020647,-11.01481,-12.066154,0.77527195,-10.795058,5.1010447,-8.365675,-8.1116085,0.27573776,0.5427128,0.5960386,0.6292864,0.632932,0.2751568,0.29704285,0.6434073,0.23596735,0.2673352,0.32516912,0.27244207,15.645785,12.901935,16.325531,13.874741,18.794346,18.372763
-782.16425,118.36035,-20.674747,-1.3577307,18.660986,-13.254269,-11.652465,-12.230282,0.8766708,-11.127214,5.341132,-11.087272,-8.1640005,0.2738834,0.6229225,0.64458555,0.64308923,0.63491976,0.27292618,0.29436558,0.64995754,0.22967517,0.2637655,0.31980696,0.27092716,15.751481,12.962224,16.401154,13.791046,18.93868,18.405128
-782.29193,118.55445,-20.67269,-1.6771795,18.671576,-13.294113,-11.655608,-12.231998,0.8781213,-11.201876,5.340074,-11.151005,-8.168024,0.27383512,0.5327815,0.66478634,0.6426955,0.6353301,0.272933,0.294289,0.6499995,0.22956985,0.26360887,0.31957698,0.2708594,15.759733,12.963406,16.701384,13.791121,18.934067,18.407764
-781.4065,117.57065,-20.556164,-0.25615883,18.59459,-13.087397,-11.373658,-12.223024,0.86333257,-10.811138,5.19441,-12.27055,-8.143632,0.27448726,0.6572485,0.597872,0.6378069,0.6346868,0.27438954,0.29463595,0.64848536,0.2318907,0.26418698,0.32276124,0.27145845,15.732121,12.953779,16.423702,13.805967,18.931784,18.393507
-782.1776,118.04188,-20.598969,-1.8135246,18.646704,-13.2223,-11.626311,-12.224609,0.86529946,-11.133626,5.2998104,-9.722915,-8.159332,0.27425006,0.5826908,0.64249915,0.64206326,0.6346639,0.2730621,0.29514825,0.6486483,0.2300401,0.26365057,0.32070476,0.27144435,15.735628,12.960687,16.757307,13.814049,18.918274,18.403667
-781.8928,118.18882,-20.630053,-1.598833,18.666193,-13.279667,-11.641915,-12.226113,0.8773782,-11.192734,5.34251,-11.859698,-8.15802,0.27390313,0.6010691,0.6376279,0.63913614,0.63488513,0.2729491,0.29434845,0.64888734,0.23037769,0.26374492,0.3203443,0.27161977,15.759697,12.963303,16.813528,13.797057,18.939472,18.40646
-782.2126,118.32566,-20.679604,-1.8001034,18.610844,-13.281855,-11.617286,-12.223783,0.8623297,-11.198514,5.328597,-5.4121566,-8.162934,0.2738684,0.61906123,0.6510377,0.6394198,0.6348696,0.27297285,0.2947127,0.64970726,0.23077029,0.2637205,0.32021734,0.27105486,15.747965,12.961367,16.764717,13.834243,18.932257,18.403288
-782.265,118.39414,-20.679876,-1.5226185,18.673018,-13.284783,-11.653288,-12.215336,0.87804407,-11.177615,5.3106585,-10.260515,-8.167155,0.27399352,0.5213745,0.5999733,0.64126277,0.6351558,0.2729076,0.2943037,0.6500517,0.22978742,0.26367095,0.3195776,0.27092636,15.7598715,12.958705,16.63981,13.813172,18.936388,18.408089
-782.1177,118.47565,-20.675478,-1.2019129,18.645952,-13.241232,-11.563198,-12.229822,0.87577903,-11.188112,5.3428965,-12.339374,-8.162828,0.27383846,0.61501694,0.6417346,0.6428749,0.6349201,0.27309227,0.29435238,0.6495958,0.23026553,0.26362595,0.31986913,0.27090758,15.740104,12.963338,16.461245,13.79726,18.92371,18.404526
-780.8679,118.223915,-20.59875,-0.92516184,18.613077,-13.259701,-11.61364,-12.207637,0.8616914,-11.087464,5.313283,-7.511521,-8.135756,0.27400884,0.6179775,0.64243597,0.6407219,0.63350064,0.27325895,0.29468328,0.64956206,0.23086321,0.26491696,0.32064053,0.27143425,15.730885,12.954148,16.755962,13.827241,18.931295,18.390741
-782.2342,118.396225,-20.666922,-1.7617596,18.651024,-13.270508,-11.644955,-12.217193,0.87639385,-11.183668,5.287562,-13.422389,-8.163988,0.27430013,0.65222996,0.60801136,0.6324973,0.6351978,0.2731105,0.29459393,0.6490816,0.22975399,0.26408303,0.32013348,0.27108794,15.753124,12.962514,16.813162,13.794851,18.919743,18.402805
-782.2529,118.50907,-20.671381,-0.60732675,18.671402,-13.225155,-11.647662,-12.233457,0.877586,-11.088711,5.330488,-7.09111,-8.167346,0.27391478,0.6883272,0.6643794,0.64004344,0.6352817,0.27308324,0.29438072,0.6495121,0.2300247,0.26363894,0.31967005,0.27123353,15.73277,12.960651,16.692945,13.800581,18.937191,18.405296
